"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"O14654","IRS4","5.95825","1.2187"
"O95861","BPNT1","4.83045","1.21752"
"P13861","PRKAR2A","5.89716","1.21692"
"Q7Z6M4","MTERF4","3.03001","1.21668"
"O14967","CLGN","4.84602","1.2138"
"Q96I99","SUCLG2","6.35601","1.21193"
"Q8WTV0","SCARB1","4.75977","1.21175"
"Q9BRA2","TXNDC17","7.48863","1.20947"
"Q9Y3D2","MSRB2","3.81906","1.20886"
"P22695","UQCRC2","7.11011","1.20807"
"P30048","PRDX3","9.84686","1.20776"
"P49406","MRPL19","5.71937","1.20717"
"Q8IX18","DHX40","3.48736","1.20714"
"Q9BYD2","MRPL9","4.00603","1.20709"
"Q9NRX2","MRPL17","5.92433","1.20572"
"Q03426","MVK","2.6805","1.20404"
"Q9BW91","NUDT9","3.18504","1.20404"
"Q6P161","MRPL54","5.23274","1.20259"
"P08047","SP1","2.5203","1.20178"
"Q9NZJ6","COQ3","2.93551","1.19946"
"Q9Y2B0","CNPY2","6.3563","1.19763"
"P54802","NAGLU","3.24031","1.19713"
"Q9NV66","TYW1","2.27701","1.19635"
"Q96LI5","CNOT6L","3.86236","1.19485"
"O75348","ATP6V1G1","5.01792","1.1922"
"Q8IXI1","RHOT2","5.02955","1.19202"
"P09874","PARP1","8.12532","1.18995"
"Q9NSE4","IARS2","5.74197","1.1898"
"Q96CP2","FLYWCH2","3.80257","1.18957"
"Q14938","NFIX","3.45341","1.18945"
"Q9Y5B6","PAXBP1","3.10202","1.18894"
"Q96RE7","NACC1","3.76122","1.18801"
"Q5JTJ3","COA6","3.84595","1.1865"
"Q96RQ3","MCCC1","4.74906","1.18384"
"Q96F63","CCDC97","2.45744","1.18344"
"P30040","ERP29","8.46027","1.18111"
"Q02790","FKBP4","7.7569","1.18064"
"Q9BRT9","GINS4","3.92096","1.18036"
"Q02338","BDH1","4.72362","1.17863"
"P00995","SPINK1","5.47001","1.17736"
"Q16775","HAGH","4.7665","1.17612"
"Q9BUE6","ISCA1","3.32272","1.17532"
"Q9UBU8","MORF4L1","4.17853","1.17453"
"P37108","SRP14","7.1689","1.17452"
"P36542","ATP5F1C","7.43704","1.17451"
"P21953","BCKDHB","3.74978","1.1744"
"P48506","GCLC","3.96052","1.17305"
"P18858","LIG1","4.36654","1.17267"
"Q08378","GOLGA3","3.52107","1.17167"
"Q13191","CBLB","5.32013","1.16981"
"Q5T3I0","GPATCH4","4.28868","1.16879"
"Q9BRT3","MIEN1","4.35722","1.16652"
"O15164","TRIM24","2.86253","1.16648"
"P26368","U2AF2","7.23196","1.16424"
"Q9NXG2","THUMPD1","3.53899","1.16409"
"Q9NZB2","FAM120A","5.20701","1.16332"
"P0DPB6","POLR1D","5.13693","1.16255"
"Q0VGL1","LAMTOR4","3.62016","1.16234"
"Q9Y5Y2","NUBP2","3.81087","1.16209"
"P54725","RAD23A","4.934","1.16199"
"Q8N490","PNKD","3.2876","1.1617"
"Q96JB5","CDK5RAP3","4.91327","1.15919"
"Q6PD62","CTR9","3.46249","1.15889"
"Q9NZ63","C9orf78","4.19026","1.15863"
"P42166","TMPO","8.20368","1.15824"
"Q92817","EVPL","4.86383","1.15793"
"Q66PJ3","ARL6IP4","3.60104","1.15747"
"Q9P260","RELCH","3.13567","1.15652"
"P40616","ARL1","3.86824","1.15637"
"P51397","DAP","2.80455","1.15548"
"Q8TDD1","DDX54","4.19713","1.15224"
"P16083","NQO2","4.83973","1.15129"
"P82094","TMF1","3.39691","1.15046"
"O75152","ZC3H11A","5.36437","1.14954"
"Q53H82","LACTB2","4.85596","1.14929"
"Q15427","SF3B4","4.86789","1.14908"
"Q8NC96","NECAP1","3.928","1.14853"
"Q8TCS8","PNPT1","6.34741","1.14739"
"Q9H8H3","METTL7A","3.94972","1.14669"
"Q96Q11","TRNT1","3.77893","1.14635"
"P61604","HSPE1","12.1617","1.14538"
"Q9UBU6","FAM8A1","3.23927","1.14517"
"O94868","FCHSD2","3.67742","1.14513"
"Q99640","PKMYT1","2.22238","1.14487"
"P07919","UQCRH","6.77509","1.14397"
"O43920","NDUFS5","4.80718","1.14393"
"Q69YL0","NCBP2AS2","3.36179","1.14382"
"A3KN83","SBNO1","1.93841","1.14335"
"P82979","SARNP","7.53083","1.1433"
"Q15020","SART3","5.45237","1.14217"
"Q99674","CGREF1","2.88218","1.1419"
"O95831","AIFM1","6.90714","1.14102"
"O14949","UQCRQ","5.88158","1.13809"
"O95359","TACC2","5.38383","1.1374"
"Q8IYS0","GRAMD1C","4.98942","1.13688"
"P08574","CYC1","7.47878","1.13476"
"Q9BX68","HINT2","6.53007","1.1344"
"Q15014","MORF4L2","5.05227","1.13397"
"Q9BYD1","MRPL13","5.2765","1.13341"
"Q8NBF2","NHLRC2","3.51544","1.13284"
"P23434","GCSH","6.18212","1.13242"
