dataset_id,id,model_id,gene_id,read_count,fpkm,tpm,data_source,dataset_name,model_name,symbol
15,97813271,SIDM00499,SIDG09528,273,2.21,8.03,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSCN2
15,97813273,SIDM00499,SIDG09530,63,0.33,1.2,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSD1
15,97813274,SIDM00499,SIDG09531,1070,1.77,6.43,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSD1L
15,97813278,SIDM00499,SIDG09537,81,0.45,1.63,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSIP1
15,97813279,SIDM00499,SIDG09538,1153,0.79,2.87,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSIP2
15,97813281,SIDM00499,SIDG09540,50,0.27,0.98,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FST
15,97813282,SIDM00499,SIDG09541,286,0.54,1.96,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSTL1
15,97813283,SIDM00499,SIDG09542,485,2.6,9.45,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSTL3
15,97813284,SIDM00499,SIDG09543,72,0.17,0.62,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSTL4
15,97813285,SIDM00499,SIDG09544,38,0.12,0.44,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSTL5
15,97813286,SIDM00499,SIDG09545,167,0.82,2.98,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTCD
15,97813288,SIDM00499,SIDG09547,137,0.83,3.02,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTCDNL1
15,97813289,SIDM00499,SIDG09548,7098,57.1,207.45,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTH1
15,97813316,SIDM00499,SIDG09577,16985,315.89,1147.63,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTL
15,97813334,SIDM00499,SIDG09598,9403,12.07,43.85,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTO
15,97813337,SIDM00499,SIDG09601,2548,14.49,52.64,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTSJ1
15,97813338,SIDM00499,SIDG09602,6250,19.58,71.13,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTSJ3
15,97813339,SIDM00499,SIDG09603,131,0.35,1.27,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FTX
15,97813340,SIDM00499,SIDG09604,12788,36.85,133.88,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUBP1
15,97813341,SIDM00499,SIDG09605,6024,17.86,64.89,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUBP3
15,97813342,SIDM00499,SIDG09606,1140,9.09,33.02,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUCA1
15,97813344,SIDM00499,SIDG09608,5901,34.5,125.34,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FUCA2
